"city","make","Model","ttl","rnk"
Aberdeen,TESLA,MODEL 3,23,1
Aberdeen,TESLA,MODEL Y,17,2
Aberdeen,CHEVROLET,BOLT EV,15,3
Aberdeen,NISSAN,LEAF,12,4
Aberdeen,FORD,MUSTANG MACH-E,11,5
Acme,TESLA,MODEL Y,2,1
Acme,CADILLAC,ELR,1,2
Acme,FORD,C-MAX,1,3
Acme,FORD,F-150,1,4
Acme,FORD,FUSION,1,5
Addy,TESLA,MODEL S,2,1
Addy,TESLA,MODEL Y,2,2
Addy,TESLA,MODEL 3,1,3
Addy,VOLKSWAGEN,ID.4,1,4
Airway Heights,TESLA,MODEL 3,8,1
Airway Heights,TESLA,MODEL Y,5,2
Airway Heights,CHEVROLET,BLAZER,3,3
Airway Heights,NISSAN,LEAF,3,4
Airway Heights,FORD,FUSION,2,5
Albion,MINI,HARDTOP,1,1
Alderdale,RIVIAN,R1T,1,1
Algona,TESLA,MODEL Y,10,1
Algona,NISSAN,LEAF,5,2
Algona,TESLA,MODEL 3,5,3
Algona,CHEVROLET,BOLT EV,2,4
Algona,HONDA,PROLOGUE,2,5
Allyn,TESLA,MODEL 3,22,1
Allyn,TESLA,MODEL Y,16,2
Allyn,CHEVROLET,VOLT,5,3
Allyn,JEEP,WRANGLER,5,4
Allyn,BMW,I4,3,5
Almira,CHEVROLET,EQUINOX,1,1
Almira,KIA,EV6,1,2
Amanda Park,FORD,C-MAX,1,1
Amanda Park,KIA,SORENTO,1,2
Amanda Park,TESLA,MODEL 3,1,3
Amanda Park,TOYOTA,BZ4X,1,4
Amboy,TESLA,MODEL Y,6,1
Amboy,VOLKSWAGEN,ID.4,4,2
Amboy,NISSAN,LEAF,3,3
Amboy,CHEVROLET,BOLT EV,2,4
Amboy,TESLA,MODEL 3,2,5
Anacortes,TESLA,MODEL Y,83,1
Anacortes,TESLA,MODEL 3,74,2
Anacortes,NISSAN,LEAF,42,3
Anacortes,CHEVROLET,BOLT EV,41,4
Anacortes,TESLA,MODEL S,38,5
Anderson Island,TESLA,MODEL Y,9,1
Anderson Island,TESLA,MODEL 3,6,2
Anderson Island,CHEVROLET,BOLT EV,4,3
Anderson Island,NISSAN,LEAF,4,4
Anderson Island,TESLA,MODEL S,4,5
Appleton,TOYOTA,PRIUS PRIME,1,1
Ariel,TESLA,MODEL Y,4,1
Ariel,CHEVROLET,BOLT EV,2,2
Ariel,FORD,FUSION,2,3
Ariel,TOYOTA,PRIUS PRIME,2,4
Ariel,TOYOTA,RAV4 PRIME,2,5
Arlington,TESLA,MODEL 3,93,1
Arlington,TESLA,MODEL Y,85,2
Arlington,NISSAN,LEAF,39,3
Arlington,TESLA,MODEL S,29,4
Arlington,FORD,MUSTANG MACH-E,28,5
Artondale,TESLA,MODEL X,2,1
Ashford,TESLA,MODEL X,5,1
Ashford,TESLA,MODEL Y,5,2
Ashford,TESLA,MODEL 3,3,3
Ashford,FORD,MUSTANG MACH-E,2,4
Ashford,AUDI,Q5 E,1,5
Asotin,CHEVROLET,BLAZER,2,1
Asotin,TESLA,MODEL 3,2,2
Asotin,TESLA,MODEL S,2,3
Asotin,CHEVROLET,BOLT EUV,1,4
Asotin,FORD,F-150,1,5
Auburn,TESLA,MODEL 3,186,1
Auburn,TESLA,MODEL Y,177,2
Auburn,TESLA,MODEL S,87,3
Auburn,NISSAN,LEAF,86,4
Auburn,TESLA,MODEL X,72,5
Bainbridge Island,TESLA,MODEL 3,125,1
Bainbridge Island,NISSAN,LEAF,123,2
Bainbridge Island,TESLA,MODEL Y,118,3
Bainbridge Island,VOLKSWAGEN,ID.4,70,4
Bainbridge Island,TESLA,MODEL S,69,5
Baring,TESLA,MODEL Y,3,1
Baring,TESLA,MODEL 3,2,2
Baring,RIVIAN,R1S,1,3
Baring,RIVIAN,R1T,1,4
Baring,TESLA,MODEL S,1,5
Battle Ground,TESLA,MODEL Y,98,1
Battle Ground,TESLA,MODEL 3,92,2
Battle Ground,NISSAN,LEAF,49,3
Battle Ground,TESLA,MODEL S,25,4
Battle Ground,TESLA,MODEL X,24,5
Bay Center,CHEVROLET,VOLT,1,1
Beaux Arts,TESLA,MODEL Y,10,1
Beaux Arts,TESLA,MODEL 3,7,2
Beaux Arts,CHEVROLET,VOLT,3,3
Beaux Arts,NISSAN,LEAF,3,4
