"Make","Model","Model Year","max_range"
ALFA ROMEO,TONALE,2025,33
AUDI,Q5 E,2025,28
BENTLEY,FLYING SPUR,2025,45
BMW,"550E",2025,40
BMW,M5,2025,25
BMW,X5,2025,40
BMW,XM,2025,31
CHRYSLER,PACIFICA,2025,32
FORD,ESCAPE,2025,37
HYUNDAI,TUCSON,2025,32
JEEP,GRAND CHEROKEE,2025,25
JEEP,WRANGLER,2025,21
KIA,NIRO,2025,33
KIA,SORENTO,2025,30
KIA,SPORTAGE,2025,34
LAMBORGHINI,REVUELTO,2025,""
LAND ROVER,RANGE ROVER,2025,58
LAND ROVER,RANGE ROVER SPORT,2025,60
LEXUS,NX,2025,37
LEXUS,RX,2025,37
LEXUS,TX,2025,33
LINCOLN,CORSAIR,2025,27
MAZDA,CX-70,2025,26
MAZDA,CX-90,2025,26
MERCEDES-BENZ,AMG GT,2025,1
MERCEDES-BENZ,C-CLASS,2025,1
MERCEDES-BENZ,E-CLASS,2025,43
MERCEDES-BENZ,GLC-CLASS,2025,54
MERCEDES-BENZ,GLE-CLASS,2025,49
MERCEDES-BENZ,S-CLASS,2025,47
MITSUBISHI,OUTLANDER,2025,38
PORSCHE,CAYENNE,2025,29
PORSCHE,PANAMERA,2025,""
TOYOTA,PRIUS PHEV,2025,39
TOYOTA,RAV4 PHEV,2025,42
VOLVO,S60,2025,41
VOLVO,V60,2025,41
VOLVO,XC60,2025,35
VOLVO,XC90,2025,32
ALFA ROMEO,TONALE,2024,33
AUDI,Q5 E,2024,23
BENTLEY,BENTAYGA,2024,28
BMW,"330E",2024,22
BMW,"750E",2024,36
BMW,X5,2024,39
BMW,XM,2024,31
CHRYSLER,PACIFICA,2024,32
DODGE,HORNET,2024,32
FORD,ESCAPE,2024,37
HYUNDAI,TUCSON,2024,33
JEEP,GRAND CHEROKEE,2024,25
JEEP,WRANGLER,2024,21
KIA,NIRO,2024,33
KIA,SORENTO,2024,32
KIA,SPORTAGE,2024,34
LAMBORGHINI,REVUELTO,2024,6
LAND ROVER,RANGE ROVER,2024,59
LAND ROVER,RANGE ROVER SPORT,2024,59
LEXUS,NX,2024,37
LEXUS,RX,2024,37
