"state","city","make","ttl"
AE,"",BMW,1
AK,Eagle River,TESLA,1
AL,Madison,TESLA,1
AL,Montgomery,TESLA,1
AL,Pike Road,TOYOTA,1
AL,Prattville,JEEP,1
AL,Smiths Station,TESLA,1
AL,Talladega,JEEP,1
AL,Prattville,TOYOTA,1
AL,Prattville,VOLKSWAGEN,1
AR,Sherwood,RIVIAN,1
AZ,Apache Junction,CHRYSLER,1
AZ,Maricopa,TESLA,1
AZ,Peoria,TESLA,1
AZ,Phoenix,NISSAN,1
AZ,Scottsdale,MERCEDES-BENZ,1
AZ,Tempe,TESLA,1
AZ,Tucson,TESLA,1
AZ,Phoenix,TESLA,1
AZ,Scottsdale,TESLA,1
AZ,Tucson,VOLVO,1
AZ,Scottsdale,TESLA,1
BC,"",TESLA,1
BC,"",VOLVO,1
CA,Alameda,JEEP,1
CA,Aliso Viejo,HYUNDAI,1
CA,Arcadia,TESLA,1
CA,Arroyo Grande,TOYOTA,1
CA,Bay Point,CHEVROLET,1
CA,Beale Afb,TESLA,1
CA,Belvedere Tiburon,BMW,1
CA,Benicia,HYUNDAI,1
CA,Berkeley,TESLA,2
CA,Buena Park,FORD,1
CA,Camarillo,CHRYSLER,1
CA,Carlsbad,CHEVROLET,1
CA,Cathedral City,VOLKSWAGEN,1
CA,Chula Vista,TESLA,5
CA,Coronado,TESLA,1
CA,Cupertino,JEEP,1
CA,Danville,TESLA,1
CA,Dublin,TESLA,2
CA,Edwards,FORD,1
CA,El Cajon,TESLA,1
CA,El Monte,TESLA,1
CA,Encinitas,TESLA,1
CA,Folsom,RIVIAN,1
CA,Fort Irwin,TESLA,3
CA,Fremont,BMW,1
CA,Fresno,JEEP,1
CA,Gardena,FORD,1
CA,Hanford,TESLA,3
CA,Helendale,BMW,1
CA,Hidden Hills,VOLVO,1
CA,Huntington Beach,TESLA,1
CA,Irvine,TESLA,1
CA,La Mesa,CHRYSLER,1
CA,Ladera Ranch,TESLA,1
CA,Lafayette,TESLA,1
CA,Laguna Niguel,TESLA,1
CA,Lake Forest,TESLA,1
CA,Lakeside,CHRYSLER,1
CA,Lancaster,TESLA,1
CA,Lemoore,CHRYSLER,1
CA,Los Angeles,TESLA,2
CA,Marina,HYUNDAI,1
CA,Martinez,BMW,1
CA,Menifee,TESLA,1
CA,Midway City,GENESIS,1
CA,Mill Valley,FORD,1
CA,Monterey,TOYOTA,1
CA,Moorpark,VOLKSWAGEN,1
CA,Morgan Hill,TOYOTA,1
CA,Mountain View,TESLA,2
CA,Murrieta,TESLA,1
CA,National City,FORD,1
CA,Oceanside,CHRYSLER,1
CA,Pacific Grove,TOYOTA,1
CA,Pacific Palisades,TESLA,1
CA,Pacifica,TESLA,1
CA,Palo Alto,FORD,1
CA,Port Hueneme,CHRYSLER,2
CA,Rancho Cucamonga,TESLA,1
CA,Redwood City,TESLA,1
CA,Roseville,CHEVROLET,1
CA,Sacramento,TESLA,1
CA,San Diego,TESLA,3
CA,San Francisco,MITSUBISHI,1
CA,San Jose,TESLA,2
CA,San Rafael,KIA,1
CA,Santa Clara,MERCEDES-BENZ,1
CA,Santa Rosa,HONDA,1
CA,Seaside,JEEP,1
CA,Sunnyvale,TESLA,2
CA,Torrance,TESLA,1
CA,Trabuco Canyon,TESLA,1
CA,Travis Afb,TESLA,1
CA,Vacaville,TESLA,1
CA,Ventura,TESLA,1
CA,Walnut Creek,KIA,1
CA,Wildomar,TESLA,1
CA,Alameda,TESLA,1
CA,Chula Vista,TESLA,1
CA,Cupertino,TESLA,1
CA,Los Angeles,LAND ROVER,1
CA,Mill Valley,FORD,1
CA,Mountain View,TESLA,1
CA,Oceanside,TESLA,1
CA,Palo Alto,TESLA,1
CA,Riverside,FORD,1
CA,Roseville,TESLA,1
CA,San Diego,TESLA,4
CA,San Francisco,TESLA,1
CA,San Jose,BMW,1
CA,Seaside,RIVIAN,1
CA,Alameda,TESLA,1
CA,Los Angeles,TESLA,1
CA,Oceanside,TOYOTA,1
CA,Riverside,TESLA,1
CA,Roseville,TESLA,1
CA,San Diego,FORD,2
CA,San Jose,FORD,1
CA,Seaside,TESLA,1
CA,Los Angeles,TESLA,1
CA,San Diego,TESLA,2
CA,San Jose,NISSAN,1
CA,Seaside,TOYOTA,1
CA,San Diego,BMW,1
CA,San Diego,CHRYSLER,1
CA,San Diego,HYUNDAI,1
CA,San Diego,POLESTAR,1
CA,San Diego,TOYOTA,1
CA,San Diego,VOLKSWAGEN,1
CO,Aurora,TESLA,1
CO,Colorado Springs,TESLA,3
CO,Denver,FORD,1
CO,Englewood,BMW,1
CO,Monument,TESLA,1
CO,Parker,CHRYSLER,1
CO,Timnath,TESLA,1
CO,Windsor,TESLA,1
CO,Colorado Springs,VOLVO,2
CO,Englewood,BMW,1
CO,Colorado Springs,AUDI,1
CO,Colorado Springs,CHRYSLER,1
CO,Colorado Springs,FORD,1
CO,Colorado Springs,NISSAN,1
CO,Colorado Springs,RIVIAN,1
CO,Colorado Springs,SUBARU,1
CO,Colorado Springs,TESLA,1
CO,Colorado Springs,TESLA,1
CT,Gales Ferry,CHRYSLER,1
CT,Mystic,TESLA,1
CT,Newington,TESLA,1
CT,Norwich,HYUNDAI,1
CT,Old Lyme,CHEVROLET,1
CT,Waterford,TOYOTA,1
CT,Gales Ferry,TESLA,1
CT,Madison,CHRYSLER,1
CT,Norwich,VOLVO,1
CT,Madison,FORD,1
CT,Preston,CHRYSLER,1
DC,Washington,BMW,1
DC,Washington,FORD,1
DC,Washington,FORD,1
DC,Washington,NISSAN,1
DC,Washington,RIVIAN,1
DC,Washington,TESLA,1
DE,Dover,TOYOTA,1
FL,Boca Raton,TESLA,1
FL,Coral Gables,TESLA,1
FL,Hialeah,TESLA,1
FL,Jacksonville,JEEP,1
FL,Kissimmee,TESLA,1
FL,Maitland,TESLA,1
FL,Melbourne,RIVIAN,1
FL,Middleburg,TESLA,1
FL,Niceville,TOYOTA,1
FL,Orlando,JEEP,1
FL,Pensacola,KIA,1
FL,Sarasota,TESLA,1
FL,Tampa,CHEVROLET,1
FL,Winter Park,TESLA,1
FL,Jacksonville,MERCEDES-BENZ,1
FL,Orlando,TESLA,1
FL,Pensacola,TESLA,1
FL,Tampa,HONDA,1
FL,Jacksonville,RIVIAN,1
FL,Orlando,TESLA,1
FL,Tampa,TESLA,1
FL,Jacksonville,TESLA,1
FL,Tampa,TESLA,1
GA,Atlanta,RIVIAN,1
GA,Augusta,CHEVROLET,1
GA,Columbus,TOYOTA,1
GA,Conyers,VOLKSWAGEN,1
GA,Cumming,TESLA,1
GA,Decatur,NISSAN,1
GA,Fort Benning,TESLA,1
GA,Hinesville,FORD,1
GA,Marietta,BMW,1
GA,Saint Marys,HYUNDAI,1
GA,Suwanee,LEXUS,1
GA,Warner Robins,FORD,1
GA,Columbus,VOLVO,1
GA,Decatur,TESLA,1
GA,Evans,FORD,1
HI,Ewa Beach,JEEP,1
HI,Honolulu,JEEP,1
HI,Kekaha,JEEP,1
HI,Kihei,KIA,1
HI,Honolulu,TESLA,1
HI,Kihei,TESLA,1
ID,Boise,TESLA,1
ID,Pocatello,TESLA,1
ID,Post Falls,TESLA,2
ID,Worley,RIVIAN,1
IL,Buffalo Grove,TESLA,1
IL,Chicago,CHRYSLER,1
IL,Great Lakes,TESLA,1
IL,Highland Park,TESLA,1
IL,Libertyville,VOLKSWAGEN,2
IL,Mundelein,TESLA,1
IL,Saint Jacob,TESLA,1
IL,Skokie,TESLA,1
IL,Streamwood,JEEP,1
IL,Libertyville,AUDI,1
IL,Libertyville,AUDI,1
IN,Fort Wayne,CHRYSLER,1
IN,Westfield,KIA,1
IN,Fort Wayne,TESLA,1
KS,Derby,FORD,1
KS,Fort Leavenworth,TESLA,2
KS,Fort Riley,FORD,1
KS,Junction City,TESLA,1
KS,Fort Leavenworth,CHRYSLER,1
KS,Fort Leavenworth,TESLA,1
KS,Fort Leavenworth,VOLVO,1
KY,Fort Knox,VOLKSWAGEN,1
KY,Goshen,CHRYSLER,1
KY,Rineyville,RIVIAN,1
LA,Shreveport,TESLA,1
MA,Boston,CHRYSLER,1
MA,Cambridge,GENESIS,1
MA,Hanscom Afb,TESLA,1
MA,North Dartmouth,TESLA,1
MA,Winchester,HYUNDAI,1
MA,Boston,TESLA,1
MA,Hanscom Afb,TESLA,1
MD,Aberdeen Proving Ground,TESLA,1
MD,Andrews Air Force Base,TESLA,1
MD,Annapolis,BMW,1
MD,Baltimore,TESLA,1
MD,Bethesda,AUDI,1
MD,California,TESLA,1
MD,Crofton,JEEP,1
MD,Edgewater,TESLA,1
MD,Ellicott City,VOLVO,1
MD,Fort Washington,NISSAN,1
MD,Frederick,TESLA,1
MD,Gaithersburg,CADILLAC,1
MD,Gambrills,HONDA,1
MD,Germantown,TESLA,1
MD,Gunpowder,TESLA,1
MD,Hanover,TESLA,1
MD,Hughesville,FISKER,1
MD,Leonardtown,TESLA,1
MD,Lexington Park,TESLA,1
MD,Middletown,LEXUS,1
MD,Odenton,BMW,1
MD,Pasadena,CHEVROLET,1
MD,Potomac,CHRYSLER,1
MD,Upper Marlboro,KIA,1
MD,Westminster,FORD,1
MD,Woodbine,TESLA,1
MD,Annapolis,FORD,1
MD,Bethesda,TESLA,1
MD,Lexington Park,TESLA,1
MD,Middletown,TOYOTA,1
MD,Upper Marlboro,TESLA,1
MD,Annapolis,GMC,1
MD,Bethesda,TESLA,1
MD,Upper Marlboro,TESLA,1
MD,Upper Marlboro,TOYOTA,1
MD,Dayton,CHEVROLET,1
ME,Brewer,TOYOTA,1
MI,Ann Arbor,TOYOTA,1
MI,Saginaw,JEEP,1
MI,Taylor,FORD,1
MI,Warren,GMC,3
MI,Warren,CHEVROLET,2
MN,Minneapolis,TESLA,1
MN,Saint Paul,VOLVO,1
MO,Ballwin,TOYOTA,1
MO,O Fallon,KIA,1
MO,Ozark,JEEP,1
MO,Saint Louis,TESLA,1
MO,Saint Robert,TESLA,1
MO,Summersville,TESLA,1
MO,Warrensburg,TESLA,1
MO,Waynesville,TESLA,1
MS,Ocean Springs,TESLA,1
NC,Bunnlevel,TESLA,1
NC,Cameron,JEEP,1
NC,Carthage,TESLA,1
NC,Fayetteville,TESLA,1
NC,Fort Bragg,TOYOTA,2
NC,Holly Springs,TESLA,1
NC,Morrisville,TESLA,1
NC,Moyock,TESLA,1
NC,Raeford,TESLA,1
NC,Raleigh,FORD,1
NC,Spring Lake,TESLA,1
NC,Vass,TESLA,1
