"State","County","Model Year","Make","Model","TTL_VEHICLES"
AE,"",2019,BMW,"530E",1
BC,"",2017,TESLA,MODEL X,1
BC,"",2022,VOLVO,S60,1
NS,"",2021,TESLA,MODEL 3,1
ID,Ada,2022,TESLA,MODEL 3,1
WA,Adams,2011,NISSAN,LEAF,1
WA,Adams,2012,NISSAN,LEAF,1
WA,Adams,2013,FORD,FUSION,1
WA,Adams,2014,FORD,C-MAX,1
WA,Adams,2014,BMW,I3,1
WA,Adams,2015,BMW,I3,1
WA,Adams,2015,NISSAN,LEAF,1
WA,Adams,2015,TESLA,MODEL S,1
WA,Adams,2016,FORD,FUSION,1
WA,Adams,2017,FORD,FUSION,1
WA,Adams,2017,CHEVROLET,VOLT,2
WA,Adams,2018,TESLA,MODEL 3,5
WA,Adams,2018,TESLA,MODEL X,1
WA,Adams,2019,TESLA,MODEL 3,3
WA,Adams,2019,KIA,NIRO,1
WA,Adams,2020,CHEVROLET,BOLT EV,2
WA,Adams,2020,TESLA,MODEL 3,4
WA,Adams,2020,TESLA,MODEL Y,1
WA,Adams,2021,TESLA,MODEL 3,2
WA,Adams,2021,TESLA,MODEL X,1
WA,Adams,2021,FORD,MUSTANG MACH-E,1
WA,Adams,2021,JEEP,WRANGLER,2
WA,Adams,2022,BMW,"330E",1
WA,Adams,2022,FORD,F-150,1
WA,Adams,2022,TESLA,MODEL 3,2
WA,Adams,2022,TESLA,MODEL Y,2
WA,Adams,2022,KIA,NIRO,1
WA,Adams,2022,RIVIAN,R1T,1
WA,Adams,2022,TOYOTA,RAV4 PRIME,1
WA,Adams,2023,BMW,"530E",1
WA,Adams,2023,TOYOTA,BZ4X,1
WA,Adams,2023,FORD,F-150,1
WA,Adams,2023,JEEP,GRAND CHEROKEE,1
WA,Adams,2023,VOLKSWAGEN,ID.4,1
WA,Adams,2023,TESLA,MODEL 3,4
WA,Adams,2023,TESLA,MODEL S,1
WA,Adams,2023,TESLA,MODEL X,1
WA,Adams,2023,TESLA,MODEL Y,3
WA,Adams,2023,FORD,MUSTANG MACH-E,1
WA,Adams,2023,RIVIAN,R1T,1
WA,Adams,2023,JEEP,WRANGLER,1
WA,Adams,2024,TESLA,CYBERTRUCK,1
WA,Adams,2024,FORD,F-150,2
WA,Adams,2024,MERCEDES-BENZ,GLE-CLASS,1
WA,Adams,2024,CADILLAC,LYRIQ,3
WA,Adams,2024,TESLA,MODEL 3,2
WA,Adams,2024,TESLA,MODEL Y,5
WA,Adams,2024,TOYOTA,PRIUS PRIME,2
WA,Adams,2024,HONDA,PROLOGUE,2
WA,Adams,2024,SUBARU,SOLTERRA,1
WA,Adams,2024,JEEP,WRANGLER,2
WA,Adams,2025,TESLA,MODEL Y,3
WA,Adams,2025,MITSUBISHI,OUTLANDER,1
CA,Alameda,2019,TESLA,MODEL 3,1
CA,Alameda,2021,TESLA,MODEL 3,1
CA,Alameda,2021,TESLA,MODEL Y,1
CA,Alameda,2022,BMW,IX,1
CA,Alameda,2023,TESLA,MODEL X,1
CA,Alameda,2023,TESLA,MODEL Y,2
CA,Alameda,2023,JEEP,WRANGLER,1
VA,Albemarle,2014,TESLA,MODEL S,1
VA,Albemarle,2024,TESLA,MODEL Y,1
VA,Alexandria,2018,TESLA,MODEL X,1
VA,Alexandria,2020,TESLA,MODEL S,1
VA,Alexandria,2024,TESLA,MODEL Y,1
PA,Allegheny,2020,TESLA,MODEL X,1
PA,Allegheny,2023,MERCEDES-BENZ,EQE-CLASS SUV,1
IN,Allen,2017,TESLA,MODEL S,1
IN,Allen,2018,CHRYSLER,PACIFICA,1
